Artist,Title,Album
Nazeem & Spencer Joles,Everybodys Driving Crazy (Feat. Maria Isa),The Album
Nazeem & Spencer Joles,The Jug,Years of Obscurity
Nipsey Hussle,Victory Lap (feat. Stacy Barthe),Victory Lap
Nipsey Hussle,Rap N*****,Victory Lap
Nipsey Hussle,Last Time That I Checc'd (feat. YG),Victory Lap
Nipsey Hussle,Young N**** (feat. Puff Daddy),Victory Lap
Nipsey Hussle,Dedication (feat. Kendrick Lamar),Victory Lap
Nipsey Hussle,Blue Laces 2,Victory Lap
Nipsey Hussle,Hussle and Motivate,Victory Lap
Nipsey Hussle,Status Symbol 3 (feat. Buddy),Victory Lap
Nipsey Hussle,Succa Proof (feat. J-Black & Konshens),Victory Lap
Nipsey Hussle,Keys 2 the City 2 (feat. TeeFlii),Victory Lap
Nipsey Hussle,Grinding All My Life,Victory Lap
Nipsey Hussle,Million While You Young (feat. The-Dream),Victory Lap
Nipsey Hussle,Loaded Bases (feat. CeeLo Green),Victory Lap
Nipsey Hussle,Real Big (feat. Marsha Ambrosius),Victory Lap
Nipsey Hussle,Right Hand 2 God,Victory Lap
NWA,Straight Outta Compton,Straight Outta Compton
O.C. & Apollo Brown,Prove Me Wrong,Trophies
Outkast,Mighty O,Idlewild
OutKast,Elevators (Me & You),ATLiens
OutKast,Mainstream (feat. Khujo & T-Bu),ATLiens
OutKast,Two Dope Boyz (In A Cadillac),ATLiens
OutKast,ATLiens,ATLiens
Patrick Paige II,Freestyle (ft. Saba),If I Fail Are We Still Cool?
Patrick Paige II,"40,000 Feet",If I Fail Are We Still Cool?
Patrick Paige II,Ain't Talkin Bout Much (ft. Syd),If I Fail Are We Still Cool?
Patrick Paige II,"whisper (ft. Steve Lacy, Allen Love, & Durand Bernarr)",If I Fail Are We Still Cool?
Pete Rock,Pete Rock Thursday Throwdown,Thursday Throwdown Mix
Pete Rock & CL Smooth,The Basement,Mecca & the Soul Brother
Pete Rock & CL Smooth,Its On You,The Main Ingredient
Pete Rock & CL Smooth,Searching,The Main Ingredient
Pete Rock & CL Smooth,Act Like You Know,Mecca And The Soul Brother
Phonte,So Help Me God,So Help Me God - Single
PRhyme,Black History,PRhyme 2
PRhyme,1 of the Hardest,PRhyme 2
PRhyme,Respect My Gun (feat. Roc Marciano),PRhyme 2
PRhyme,W.O.W. (With Out Warning) [feat. Yelawolf],PRhyme 2
PRhyme,Sunflower Seeds (feat. Novel),PRhyme 2
PRhyme,Streets at Night,PRhyme 2
PRhyme,Rock It,PRhyme 2
PRhyme,Loved Ones (feat. Rapsody),PRhyme 2
PRhyme,My Calling,PRhyme 2
PRhyme,Made Man (feat. Big K.R.I.T. & Denaun),PRhyme 2
PRhyme,Flirt (feat. 2 Chainz),PRhyme 2
PRhyme,Everyday Struggle (feat. Chavis Chandler),PRhyme 2
PRhyme,Rock It,PRhyme 2
PRhyme,Black History,PRhyme 2
PRhyme,W.O.W. feat. Yelawolf (clean version),PRhyme 2
Public Enemy,Rebel Without A Pause,It Takes A Nation of Millio
Public Enemy,Black Steel In The Hour of Chaos,It'll Take A Nation of Mill
Public Enemy,Public Enemy #1,Yo! Bum Rush The Show
Pusha T,My God,Fear of God
Pusha T,Lunch Money,Lunch Money - Single
Pusha T,Infrared,Daytona
Queen Latifah,Just Another Day,Black Reign
Queen Latifah,Black Hand Side,Black Reign
Queen Latifah,I Can't Understand,Black Reign
Queen Latifah,Ladies First,All Hail the Queen
Queen Latifah,Latifah's Had It Up 2 Here,Nature Of A Sista'
Queen Latifah,Nature Of A Sista',Nature Of A Sista'
Queen Latifah,Nuff' Of The Ruff' Stuff',Nature Of A Sista'
Queen Latifah,Rough...,Black Reign
Queen Latifah,That's The Way We Flow,Nature Of A Sista'
Raekwon,House of Flying Daggers,
Raekwon,Ice Cream,Only Built 4 Cuban Linx..
Rakim,When I B On Tha Mic,The Master
Ras Kass,Soul On Ice,Soul On Ice
Rashad & Confidence,Understand,
Rashad & Confidence,The City,
Redman,Time 4 Sum Aksion,Whut? Thee Album
Rema,Dumebi,Bad Commando EP
RJD2,June,Deadringer
Robert Glasper Experiment,Always Shine ft. Lupe Fiasco and Bilal,Black Radio
Roots Manuva,Revelations,4everevolution
Run The Jewels,Yankee and the Brave (ep. 4),RTJ4
Run The Jewels,Holy Calamaf*ck,RTJ4
Run The Jewels,Pulling the Pin (ft. Josh Homme & Mavis Staples),RTJ4
Run-D.M.C.,Peter Piper,Raising Hell
Run-D.M.C.,Soul To Rock And Roll,Tougher Than Leather
Run-DMC,The Ave.,Back From Hell
Run-DMC,Beats to Rhymes,Tougher Than Leather
Saba,Logout (feat. Chance the Rapper),Logout - Single
Sage Francis,Conspiracy to Riot,
Sage Francis,Rewrite,Sick Of Waiting Tables...
Sage Francis,Dance Monkey,A Healthy Distrust
Sage Francis Underground Fo,SageFrancis-Underground,Underground For Dummies
Scarface,I Seen A Man Die,The Diary
ScHoolboy Q,Sacrilegious,Habits & Tribulations
ScHoolboy Q,Man of the Year Clean,Oxymoron
Shabazz Palace,Shine a Light (feat. Thaddillac),Quazarz: Born on a Gangster Star
Shabazz Palaces,Effeminence (feat. Fly Guy Dai of Chimurenga Renaissanc,Quazarz vs the Jealous Machines
Shabazz Palaces,The SS Quintessence,Quazarz vs the Jealous Machines
Shamir,On the Regular,Ratchet
Skyzoo,Jansport Strings,A Dream Deferred
Smif N Wessun,Sound Bwoy Bureill,
Smif N Wessun,Buckdown,
Smif N Wessun,Wontime,
Smoke DZA & Pete Rock,Limitless (feat. Dave East),Don't Smoke Rock
Smoke DZA & Pete Rock,Black Superhero Car (feat. Rick Ross),Don't Smoke Rock
Smoke DZA & Pete Rock,"Hold the Drums (feat. Royce da 5'9"")",Don't Smoke Rock
Smoke DZA & Pete Rock,"Moving Weight, Pt. 1 (feat. Cam'Ron)",Don't Smoke Rock
Smoke DZA & Pete Rock,Wild 100s,Don't Smoke Rock
Smoke DZA & Pete Rock,Last Name,Don't Smoke Rock
Smoke DZA & Pete Rock,1 of 1,Don't Smoke Rock
Smoke DZA & Pete Rock,"Milestone (feat. BJ the Chicago Kid, Jadakiss, and Styl",Don't Smoke Rock
Smoke DZA & Pete Rock,Show Off (feat. Wale),Don't Smoke Rock
Smoke DZA & Pete Rock,"Dusk 2 Dusk (feat. Big K.R.I.T., Dom Kennedy, theMIND)",Don't Smoke Rock
Smoke DZA & Pete Rock,I Ain't Scared,Don't Smoke Rock
Smoke DZA & Pete Rock,Until Then (feat. Mac Miller),Don't Smoke Rock
Sol.iLLaquists of Sound,black guy peace,as if we existed
Souls Of Mischief,93 Til Infinity,93 Til Infinity (VLS)
Sway & Tech,The Anthem,This Or That
SZA,Supermodel,Ctrl
SZA,Love Galore (feat. Travis Scott),Ctrl
SZA,Doves in the Wind (feat. Kendrick Lamar),Ctrl
SZA,Drew Barrymore,Ctrl
SZA,Prom,Ctrl
SZA,The Weekend,Ctrl
SZA,Go Gina,Ctrl
SZA,Garden (Say It Like Dat),Ctrl
SZA,Broken Clocks,Ctrl
SZA,Anything,Ctrl
SZA,Wavy (Interlude) [feat. James Fauntleroy],Ctrl
SZA,Normal Girl,Ctrl
SZA,Pretty Little Birds (feat. Isaiah Rashad),Ctrl
SZA,20 Something,Ctrl
Talib Kweli,Cold Rain,Gutter Rainbows
Talib Kweli,Palookas (Produced by Marco Polo),Gutter Rainbows
Talib Kweli,Push Thru (Feat. Kendrick Lamar & Curren$y),Push Thru Single
Talib Kweli,All of Us (feat. Yummy Bingham & Jay Electronica),Radio Silence
Talib Kweli & Hi Tek,Love Language Feat Les Nubiens,Reflection Eternal
Tech N9ne,Red Nose,Misery Loves Company?
Tech N9ne,He's A Mental Giant,All 6's & 7's
The Alchemist,The Turning Point ft. Roc Marciano,Russian Roulette
The Coup,Dig It,Kill My Landlord
The Coup,Fat Cats and Bigga Fish,Genocide & Juice
The D.O.C.,It's Funky Enough,No One Can Do It Better
The Dynospectrum,Anything is Everything,The Dynospectrum
The Internet,Come Over,Hive Mind
The Internet,Next Time/Humble Pie,Hive Mind
The Internet,Look What U Started,Hive Mind
The Internet,Wanna Be,Hive Mind
The Internet,Roll (Burbank Funk),Hive Mind
The Internet,La Di Da,Hive Mind
The Internet,Roll,
The Internet,Under Control,Ego Death
The Internet,Girl (ft. KAYTRANDA),Ego Death
The Internet,Special Affair,Ego Death
The Internet,Go With It (ft. Vic Mensa),Ego Death
The Notorious B.I.G.,Kick In The Door,Life After Death
The Notorious B.I.G.,Sky Is The Limit,Life After Death
The Pharcyde,Runnin',
The Pharcyde,Passin' Me By,
The Roots,In The Music,Game Theory
The Roots,Make My,Undun
The Roots,Distortion To Static,Do You Want More ?!?!?!
The Roots,Get Busy Feat Peedi Peedi & Dice,Rising Down
The Roots,Don't Feel Right (Feat. Maimouna Youssef),Game Theory
Tony the Scribe,Miss Me,Miss Me - Single
Too Short,Life's...Too Short,Life's...Too Short
"Tyler, the Creator",Who Dat Boy,Scum F*** Flower Boy
Vic Mensa,Down On My Luck,Down On My Luck-Single
Vic Mensa,Shades Of Blue clean,
Vic Mensa,Heaven on Earth (Reprise),The Autobiography
Vic Mensa,The Fire Next Time,The Autobiography
Vic Mensa,We Could Be Free (feat. Ty Dolla $ign),The Autobiography
Vic Mensa,Rage (Bonus Track),The Autobiography
Vic Mensa,Omg (feat. Pusha T) [Bonus Track],The Autobiography
Vic Mensa,Say I Didn't,The Autobiography
Vic Mensa,Memories on 47th St.,The Autobiography
Vic Mensa,Rollin' Like a Stoner,The Autobiography
Vic Mensa,Homewrecker (feat. Weezer),The Autobiography
Vic Mensa,Gorgeous (feat. Syd),The Autobiography
Vic Mensa,Heaven on Earth (feat. The-Dream),The Autobiography
Vic Mensa,Down for Some Ignorance (Ghetto Lullaby) [feat. Chief K,The Autobiography
Vic Mensa,Coffee Cigarettes,The Autobiography
Vic Mensa,Wings (feat. Pharrell Williams & Saul Williams),The Autobiography
Vince Staples,Loco (Ft. Kilo Kish),Prima Donna
Vince Staples,Crabs in a Bucket,Big Fish Theory
Vince Staples,Big Fish,Big Fish Theory
Vince Staples,Love Can Be...,Big Fish Theory
Vince Staples,745,Big Fish Theory
Vince Staples,Yeah Right,Big Fish Theory
Vince Staples,Homage,Big Fish Theory
Vince Staples,Samo,Big Fish Theory
Vince Staples,Party People,Big Fish Theory
Vince Staples,BagBak,Big Fish Theory
Vince Staples,Rain Come Down,Big Fish Theory
Vinnie Paz,Cheesesteaks,God Of The Serengeti
WhoHeem,Let's Link,Let's Link
Wu-Tang Clan,Family Reunion,Family Reunion
Wu-Tang Clan,One Blood Under W,The W
X-Clan,Raise The Flag,
X-Ecutioners,X-Ecutioners Scratch,Built From Scratch
Yelawolf,Pop The Trunk,Trunk Muzik 0-60
Young MC,Pick Up The Pace,Stone Cold Rhymin'
